"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","22.6072","22.5713","22.7010","22.3933","196.64K","0.34%"
"12/29/2022","22.5301","22.4907","22.6730","22.3820","181.31K","0.18%"
"12/28/2022","22.4888","22.4930","22.7071","22.3121","167.51K","0.22%"
"12/27/2022","22.4395","22.5431","22.7353","22.3913","174.25K","-0.30%"
"12/26/2022","22.5061","22.5067","22.6954","22.3682","86.39K","0.01%"
"12/23/2022","22.5047","22.4804","22.6417","22.3374","217.26K","0.24%"
"12/22/2022","22.4510","22.5580","22.7693","22.3075","233.94K","-0.50%"
"12/21/2022","22.5649","22.7351","22.8620","22.4068","202.16K","-0.66%"
"12/20/2022","22.7150","22.6741","22.8676","22.4597","219.74K","0.32%"
"12/19/2022","22.6433","22.6313","22.8857","22.5173","197.15K","0.09%"
"12/16/2022","22.6220","22.7029","22.8881","22.5329","184.38K","-0.31%"
"12/15/2022","22.6922","23.1474","23.2379","22.5345","207.15K","-1.90%"
"12/14/2022","23.1319","22.9569","23.2764","22.8568","246.90K","0.79%"
"12/13/2022","22.9513","22.8749","23.2327","22.6847","201.65K","0.39%"
"12/12/2022","22.8621","22.8568","23.0158","22.6700","180.63K","0.03%"
"12/09/2022","22.8559","22.8088","23.0218","22.6938","207.28K","0.28%"
"12/08/2022","22.7930","22.7450","22.8922","22.5730","229.63K","0.26%"
"12/07/2022","22.7334","22.6131","22.8082","22.4401","242.82K","0.57%"
"12/06/2022","22.6039","22.7169","22.8901","22.5250","228.69K","-0.41%"
"12/05/2022","22.6973","22.9044","23.1059","22.6654","246.18K","-0.85%"
"12/02/2022","22.8910","22.8405","22.9712","22.5889","195.60K","0.37%"
"12/01/2022","22.8066","22.4388","22.9391","22.3698","234.69K","1.76%"
"11/30/2022","22.4115","22.2759","22.5257","22.0977","243.41K","0.60%"
"11/29/2022","22.2773","22.2812","22.5382","22.1796","212.24K","0.10%"
"11/28/2022","22.2543","22.4883","22.6317","22.2299","205.86K","-0.98%"
"11/25/2022","22.4750","22.5408","22.6759","22.3850","167.01K","-0.21%"
"11/24/2022","22.5229","22.4412","22.6767","22.3558","196.67K","0.44%"
"11/23/2022","22.4242","22.1218","22.5023","21.9984","169.19K","1.41%"
"11/22/2022","22.1120","22.0168","22.2112","21.9036","189.01K","0.50%"
"11/21/2022","22.0010","22.1382","22.1963","21.8444","224.78K","-0.41%"
"11/18/2022","22.0910","22.0517","22.3064","21.9725","239.31K","0.34%"
"11/17/2022","22.0158","22.1722","22.3161","21.8969","199.66K","-0.56%"
"11/16/2022","22.1394","22.0825","22.2773","21.9345","224.32K","0.37%"
"11/15/2022","22.0583","21.8780","22.3801","21.7544","258.44K","1.00%"
"11/14/2022","21.8406","21.9732","22.0438","21.6744","234.80K","-0.63%"
"11/11/2022","21.9796","21.6597","22.0130","21.4869","263.62K","1.54%"
"11/10/2022","21.6454","21.1143","21.7059","20.9993","258.06K","2.65%"
"11/09/2022","21.0865","21.3953","21.5828","20.9302","257.03K","-1.35%"
"11/08/2022","21.3744","21.2360","21.5739","21.1257","233.81K","0.68%"
"11/07/2022","21.2299","21.1260","21.4450","20.9193","239.07K","0.53%"
"11/04/2022","21.1185","20.7901","21.1621","20.7062","235.50K","1.61%"
"11/03/2022","20.7830","21.2295","21.3469","20.7572","221.16K","-2.01%"
"11/02/2022","21.2085","21.3433","21.5741","21.1959","208.87K","-0.53%"
"11/01/2022","21.3207","21.3522","21.6012","21.2356","195.42K","-0.01%"
"10/31/2022","21.3232","21.5826","21.6970","21.3195","199.99K","-1.15%"
"10/28/2022","21.5718","21.5068","21.6575","21.3309","210.07K","0.31%"
"10/27/2022","21.5060","21.6347","21.7482","21.3759","244.57K","-0.51%"
"10/26/2022","21.6159","21.3485","21.6590","21.1670","252.04K","1.40%"
"10/25/2022","21.3166","20.9902","21.3864","20.8615","224.00K","1.63%"
"10/24/2022","20.9756","21.0209","21.2743","20.8960","234.18K","-0.16%"
"10/21/2022","21.0086","20.8941","21.0424","20.5685","236.28K","0.55%"
"10/20/2022","20.8934","20.8643","21.0781","20.7064","244.63K","0.23%"
"10/19/2022","20.8454","21.0415","21.1660","20.7656","232.64K","-0.87%"
"10/18/2022","21.0282","21.1026","21.2490","20.8930","249.66K","-0.27%"
"10/17/2022","21.0853","20.7567","21.2572","20.7557","216.42K","1.71%"
"10/14/2022","20.7298","21.0252","21.1584","20.7266","251.88K","-1.19%"
"10/13/2022","20.9796","20.6078","21.1300","20.4492","224.73K","1.89%"
"10/12/2022","20.5911","20.3910","20.6882","20.2639","239.97K","1.05%"
"10/11/2022","20.3775","20.5424","20.7810","20.3006","255.26K","-0.75%"
"10/10/2022","20.5314","20.5956","20.7039","20.4059","239.88K","-0.21%"
"10/07/2022","20.5741","20.7340","20.8944","20.5105","220.82K","-0.72%"
"10/06/2022","20.7223","21.0243","21.2293","20.6480","233.99K","-1.44%"
"10/05/2022","21.0242","21.3183","21.4435","20.8421","256.84K","-1.30%"
"10/04/2022","21.3017","21.0002","21.3572","20.7740","241.66K","1.49%"
"10/03/2022","20.9886","20.6380","21.0508","20.5406","230.32K","1.66%"
"09/30/2022","20.6460","20.5650","20.8447","20.4062","220.37K","0.43%"
"09/29/2022","20.5584","20.1467","20.5903","19.8790","250.29K","2.04%"
"09/28/2022","20.1472","19.7888","20.2164","19.5134","264.15K","1.85%"
"09/27/2022","19.7807","19.7278","20.1091","19.6448","256.90K","0.40%"
"09/26/2022","19.7014","19.9958","20.1737","19.1325","254.44K","-1.44%"
"09/23/2022","19.9893","20.6514","20.7598","19.9505","193.35K","-3.05%"
"09/22/2022","20.6187","20.6519","20.8774","20.4855","218.05K","-0.12%"
"09/21/2022","20.6426","20.8356","20.9459","20.5235","183.84K","-0.88%"
"09/20/2022","20.8253","20.9038","21.0544","20.7454","188.08K","-0.35%"
"09/19/2022","20.8980","20.8379","20.9681","20.6917","147.70K","0.32%"
"09/16/2022","20.8317","20.9438","21.0348","20.6962","188.46K","-0.50%"
"09/15/2022","20.9372","21.0399","21.1640","20.8740","197.33K","-0.44%"
"09/14/2022","21.0301","20.9746","21.1756","20.8579","216.88K","0.32%"
"09/13/2022","20.9630","21.2938","21.4932","20.9674","206.33K","-1.47%"
"09/12/2022","21.2766","21.1479","21.3997","21.0686","167.34K","0.71%"
"09/09/2022","21.1270","20.9759","21.3004","20.9504","205.77K","0.77%"
"09/08/2022","20.9660","21.0108","21.1473","20.8421","174.90K","-0.17%"
"09/07/2022","21.0010","20.9946","21.0844","20.7640","173.31K","0.13%"
"09/06/2022","20.9741","20.9838","21.2488","20.9111","201.38K","0.04%"
"09/05/2022","20.9661","20.9430","21.0558","20.7586","189.34K","0.23%"
"09/02/2022","20.9171","21.0156","21.1983","20.8766","209.09K","-0.44%"
"09/01/2022","21.0093","21.1513","21.2241","20.8055","212.27K","-0.60%"
"08/31/2022","21.1367","21.1954","21.3521","21.0592","214.98K","-0.16%"
"08/30/2022","21.1713","21.2904","21.3822","21.1306","209.42K","-0.51%"
"08/29/2022","21.2800","21.3396","21.3895","21.0893","185.56K","-0.15%"
"08/26/2022","21.3129","21.5016","21.7222","21.2677","187.12K","-0.83%"
"08/25/2022","21.4912","21.4226","21.6396","21.3211","202.81K","0.37%"
"08/24/2022","21.4128","21.4485","21.5396","21.2477","194.00K","-0.06%"
"08/23/2022","21.4254","21.2847","21.5117","21.1173","205.69K","0.90%"
"08/22/2022","21.2335","21.3876","21.5491","21.2171","205.93K","-0.73%"
"08/19/2022","21.3891","21.5141","21.6780","21.3353","197.29K","-0.44%"
"08/18/2022","21.4829","21.6278","21.8874","21.3908","206.16K","-0.57%"
"08/17/2022","21.6062","21.6901","21.8807","21.5562","171.53K","-0.24%"
"08/16/2022","21.6580","21.6525","21.8088","21.4878","176.72K","0.10%"
"08/15/2022","21.6369","21.7556","21.8906","21.5683","176.32K","-0.53%"
"08/12/2022","21.7520","21.9090","22.0317","21.6019","211.38K","-0.68%"
"08/11/2022","21.9005","21.8585","22.0666","21.6877","208.73K","0.24%"
"08/10/2022","21.8471","21.6285","21.9817","21.4963","234.30K","1.09%"
"08/09/2022","21.6120","21.6700","21.8767","21.3822","219.67K","-0.08%"
"08/08/2022","21.6288","21.6250","21.8479","21.5157","198.51K","0.04%"
"08/05/2022","21.6193","21.8067","21.9531","21.5448","195.36K","-0.79%"
"08/04/2022","21.7909","21.7869","21.9741","21.6115","200.28K","0.04%"
"08/03/2022","21.7818","21.8461","21.9895","21.6733","197.53K","-0.15%"
"08/02/2022","21.8151","21.9291","22.0975","21.7743","217.09K","-0.49%"
"08/01/2022","21.9223","21.7901","22.1218","21.6968","199.30K","0.60%"
"07/29/2022","21.7910","21.8022","22.0690","21.5264","187.96K","-0.06%"
"07/28/2022","21.8046","21.7290","21.9404","21.5982","213.35K","0.45%"
"07/27/2022","21.7079","21.4879","21.8203","21.3754","185.02K","1.08%"
"07/26/2022","21.4757","21.4410","21.6507","21.0844","188.51K","0.37%"
"07/25/2022","21.3961","21.2969","21.5656","21.1374","193.60K","0.62%"
"07/22/2022","21.2643","21.2491","21.4088","20.9934","182.29K","0.13%"
"07/21/2022","21.2377","21.0690","21.3032","20.9414","210.74K","0.80%"
"07/20/2022","21.0695","21.0657","21.2589","20.8364","198.22K","0.08%"
"07/19/2022","21.0532","20.8764","21.2112","20.7577","186.85K","1.09%"
"07/18/2022","20.8264","20.6660","21.0231","20.5210","162.76K","1.02%"
"07/15/2022","20.6166","20.6297","20.7332","20.4463","206.83K","-0.01%"
"07/14/2022","20.6184","20.7251","20.8322","20.4824","208.52K","-0.32%"
"07/13/2022","20.6838","20.5840","20.8943","20.4584","223.66K","0.61%"
"07/12/2022","20.5593","20.6510","20.6876","20.4403","204.31K","-0.36%"
"07/11/2022","20.6340","20.7780","20.8243","20.6112","161.56K","-0.65%"
"07/08/2022","20.7686","20.7679","20.9182","20.5727","204.38K","0.04%"
